
2024/10/11 (12:03:35) | ===> btop++ v.1.4.0
2024/10/11 (12:03:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (19:27:26) | ===> btop++ v.1.4.0
2024/10/13 (19:27:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (12:30:57) | ===> btop++ v.1.4.0
2024/10/15 (12:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (21:42:37) | ===> btop++ v.1.4.0
2024/10/17 (21:42:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (16:57:39) | ===> btop++ v.1.4.0
2024/10/29 (16:57:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:09:07) | ===> btop++ v.1.4.0
2024/10/29 (17:09:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (20:50:12) | ===> btop++ v.1.4.0
2024/11/16 (20:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (20:48:28) | ===> btop++ v.1.4.0
2024/11/22 (20:48:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (18:21:37) | ===> btop++ v.1.4.0
2024/12/16 (18:21:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (13:00:14) | ===> btop++ v.1.4.0
2024/12/19 (13:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (19:31:24) | ===> btop++ v.1.4.0
2024/12/28 (19:31:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (20:15:37) | ===> btop++ v.1.4.0
2024/12/30 (20:15:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (21:09:10) | ===> btop++ v.1.4.0
2024/12/30 (21:09:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (21:14:42) | ===> btop++ v.1.4.0
2024/12/30 (21:14:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (14:56:02) | ===> btop++ v.1.4.0
2025/01/02 (14:56:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (15:12:38) | ===> btop++ v.1.4.0
2025/01/02 (15:12:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:19:21) | ===> btop++ v.1.4.0
2025/01/02 (17:19:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (13:10:42) | ===> btop++ v.1.4.0
2025/01/04 (13:10:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (13:35:57) | ===> btop++ v.1.4.0
2025/01/04 (13:35:57) | WARNING: Intel GPU: Failed to initialize PMU
